49374 143730
49077 49078 13
49077 42936 124
49077 43532 86
49077 43538 196
49078 49077 13
49078 42936 130
49078 43530 100
49078 43537 196
49079 26606 19
49080 46740 14
49081 6428 22
49082 35702 6
49083 48438 104
49084 49085 65
49084 49088 98
49084 29454 152
49085 49084 65
49085 2181 28
49085 48077 33
49086 49087 24
49086 49088 107
49086 2090 12
49086 44814 29
49087 49086 24
49087 44814 32
49087 48177 66
49088 49084 98
49088 49086 107
49088 2181 14
49088 39799 460
49089 4549 106
49090 4550 8
49091 2269 10
49092 49093 39
49092 49061 52
49092 49062 10
49093 49092 39
49093 49094 52
49093 49095 11
49094 49093 52
49094 24913 24
49094 49061 38
49095 49093 11
49096 19982 125
49096 45051 124
49096 35922 801
49096 35924 1878
49097 49098 13
49097 10100 147
49097 25937 88
49098 49097 13
49098 49099 96
49098 6233 232
49099 49098 96
49099 6234 183
49099 10100 162
49099 15892 91
49100 30212 90
49100 38202 191
49100 38204 50
49101 45570 94
49102 45571 158
49103 49104 12
49103 22004 165
49103 26947 36
49104 49103 12
49105 26160 248
49106 49107 5
49106 49109 10
49106 49033 110
49107 49106 5
49107 49108 10
49107 46646 35
49108 49107 10
49108 49109 7
49108 21699 312
49108 46645 33
49109 49106 10
49109 49108 7
49109 21699 313
49109 49033 107
49110 41474 9
49110 44251 18
49110 47024 131
49111 4617 128
49112 49113 111
49112 36202 333
49113 49112 111
49113 1440 16
49114 48646 86
49115 261 8
49116 17490 8
49117 47498 37
49118 47498 35
49119 49120 98
49119 22680 153
49119 46989 24
49120 49119 98
49121 27583 15
49122 47875 15
49123 46395 338
49124 49274 37
49124 46277 38
49124 48154 453
49125 49126 11
49125 49127 17
49125 977 102
49126 49125 11
49126 49127 17
49126 960 171
49127 49125 17
49127 49126 17
49127 44076 151
49128 48558 31
49129 47454 8
49130 49131 78
49130 15297 150
49130 36623 137
49131 49130 78
49132 48708 6
49133 23865 14
49133 44000 105
49134 39135 68
49135 49136 14
49135 44866 48
49135 46583 4
49136 49135 14
49136 39138 43
49136 46582 7
49137 49138 11
49137 36565 46
49137 46579 5
49138 49137 11
49138 46918 46
49138 46927 5
49139 46923 74
49140 49141 10
49140 36564 51
49140 46578 5
49141 49140 10
49141 36564 51
49141 46577 5
49142 49143 17
49142 2454 52
49142 46587 5
49143 49142 17
49143 46586 6
49143 46814 51
49144 49145 14
49144 36566 99
49144 46495 5
49145 49144 14
49145 36566 88
49145 46496 5
49146 49147 17
49146 46468 55
49146 46470 8
49147 49146 17
49147 46468 62
49147 46469 7
49148 49149 11
49149 49148 11
49149 46929 15
49149 48713 60
49150 46929 7
49151 49152 14
49151 46845 7
49151 46908 33
49152 49151 14
49152 46846 7
49152 46908 31
49153 49154 16
49153 46848 53
49153 48053 7
49154 49153 16
49154 46847 52
49154 46849 8
49155 49156 11
49155 8412 48
49155 47079 8
49156 49155 11
49156 47077 48
49156 47078 7
49157 46848 12
49158 36589 814
49159 46485 43
49160 46486 37
49161 17067 81
49162 8254 37
49162 42059 253
49163 49164 94
49163 31953 75
49163 48874 125
49164 49163 94
49164 15390 70
49164 31953 34
49165 49166 71
49165 3937 44
49165 13441 58
49166 49165 71
49166 3936 364
49166 3937 39
49167 2083 112
49167 39291 83
49167 46280 290
49168 49169 16
49168 8024 69
49168 23928 93
49169 49168 16
49170 44638 38
49171 3526 47
49172 10428 15
49172 10429 189
49172 41117 32
49173 23290 70
49173 23312 59
49174 17242 92
49175 49176 37
49175 13589 32
49175 13590 67
49176 49175 37
49176 13589 39
49176 21919 78
39097 22368 385
39097 34617 14
39097 45799 681
39098 34617 27
39099 39100 425
39099 39214 984
39099 39217 11
39099 47113 15
39100 39099 425
39100 39104 792
39100 45237 52
39101 39102 29
39102 39101 29
39102 22368 14
39102 34617 384
39102 35466 182
39103 39104 17
39103 45799 40
39103 45800 65
39104 39100 792
39104 39103 17
39104 34617 721
39105 39217 13
39105 47113 10
39105 48103 491
39106 39107 14
39106 6099 2571
39106 39217 529
39107 39106 14
39107 39229 116
39107 48103 34
39108 7825 67
39108 7826 66
39108 16435 39
39109 7826 29
39109 10452 88
39109 38207 52
39110 2166 327
39110 16439 55
39110 45712 33
39111 39112 74
39111 2166 38
39111 46047 105
39112 39111 74
39112 2166 55
39112 34937 705
39113 39114 67
39113 19803 47
39113 20528 20
39114 39113 67
39114 43815 49
39114 43817 10
39115 39116 232
39115 31667 15
39115 43816 99
39116 39115 232
39116 43816 409
39117 39120 92
39117 26668 137
39118 8847 18
39118 11493 80
39118 43458 33
39119 39120 20
39119 16440 54
39119 31422 31
39120 39117 92
39120 39119 20
39120 31422 27
49177 5446 24
49177 46246 177
39121 7821 101
39121 7822 116
39121 38195 94
39122 847 78
39122 850 25
39122 879 25
39123 848 72
39123 850 28
39123 880 35
39124 496 248
49178 49179 17
49178 49183 17
49178 13532 171
49179 49178 17
49179 49183 13
49179 49185 7
49180 49182 16
49180 49186 16
49180 34066 229
49181 49184 15
49181 49185 11
49181 49186 6
49182 49180 16
49182 49183 46
49182 49186 14
49183 49178 17
49183 49179 13
49183 49182 46
49184 49181 15
49184 49185 15
49184 6857 109
49185 49179 7
49185 49181 11
49185 49184 15
49186 49180 16
49186 49181 6
49186 49182 14
15 83 100
15 227 201
15 321 200
15 714 100
16 42360 95
16 43200 114
16 404 135
16 405 140
17 151 193
17 622 434
17 48852 69
18 42438 67
18 310 114
18 43190 121
18 38278 86
19 83 101
19 194 100
19 226 200
19 322 201
20 21 289
20 16730 152
20 40616 47
21 20 289
21 22 133
21 156 171
22 21 133
22 14371 70
22 86 149
22 40618 445
23 87 134
23 89 88
23 40456 110
24 39659 91
24 40419 415
24 40461 130
25 343 75
25 44643 60
25 44644 87
49187 40718 150
49187 38704 101
49187 38705 99
49188 20883 238
49188 43070 35
49188 36773 34
49189 49190 51
49189 9931 90
49189 29242 44
49190 49189 51
49190 29242 57
49190 37648 95
49191 49301 161
49191 36362 7
49191 36363 65
49192 49301 136
49192 277 112
49192 36364 59
49193 713 97
49193 714 97
49193 901 200
49193 909 201
49194 25032 96
49194 713 200
49194 909 95
49194 1116 202
49195 49196 50
49195 157 37
49195 34880 43
49196 49195 50
49196 157 39
49196 42778 70
49197 3849 190
49198 37251 20
49199 37250 20
49200 37254 29
49201 17878 29
49202 28467 175
49203 44881 12
49204 49206 6
49204 49207 57
49204 46211 95
49205 49208 71
49205 49209 45
49205 34815 622
49206 49204 6
49206 49207 51
49206 49208 7
49207 49204 57
49207 49206 51
49207 49209 6
49208 49205 71
49208 49206 7
49208 49209 50
49209 49205 45
49209 49207 6
49209 49208 50
49210 42712 87
49210 42713 33
49210 46423 137
49211 47854 29
49212 47854 20
49213 8658 403
49214 8657 27
49214 8658 187
49214 38591 31
49215 8656 152
49215 38591 7
49216 24861 172
49217 14495 54
49218 24383 74
49218 24384 16
49219 49220 189
49219 23579 46
49220 49219 189
49220 49221 14
49221 49220 14
49221 21789 95
49221 21790 13
26 39356 411
26 39630 914
26 46212 708
49222 46585 54
49223 49224 13
49223 22836 91
49223 34625 16
49224 49223 13
49225 24701 8
49226 24701 7
49227 23132 7
49228 23132 8
49229 33029 8
49230 33029 10
49231 49232 28
49231 22883 38
49231 31967 123
49232 49231 28
49232 22882 99
49232 22883 39
49233 49234 28
49233 22366 159
49233 22367 47
49234 49233 28
49234 8232 87
49234 22367 27
49235 45236 13
49236 10370 53
49236 41148 207
49236 48324 321
49237 49238 51
49237 49239 51
49237 8811 395
49237 37929 467
49238 49237 51
49238 49239 13
49238 47705 218
49239 49237 51
49239 49238 13
49239 48298 377
49240 46135 88
49241 49242 101
49241 11299 202
49241 11300 8
49242 49241 101
49242 8096 45
49242 19560 98
49243 30232 267
49244 49245 24
49244 31964 34
49244 32105 110
49245 49244 24
49245 30232 118
49245 31964 35
49246 21286 441
49247 49248 25
49247 21447 33
49247 35862 192
49248 49247 25
49248 49249 12
49248 35860 464
49249 49248 12
49249 2215 123
49249 21447 72
49250 19962 52
49250 41579 253
49251 3091 9
49252 49254 21
49252 14026 22
49252 14027 308
49253 49254 21
49253 14025 361
49253 14026 21
49254 49252 21
49254 49253 21
49254 14026 8
49254 33714 93
49255 19844 47
49256 49257 9
49256 49258 8
49256 31166 136
49257 49256 9
49257 49259 7
49257 24329 102
49258 49256 8
49258 49259 6
49258 18585 103
49259 49257 7
49259 49258 6
49259 38751 250
49260 39510 9
49261 23273 420
49262 23523 137
49263 19480 11
49264 44885 42
49265 41947 159
49266 4065 4
49266 4066 68
49266 17496 56
49267 49268 179
49267 17494 172
49267 17978 4
49268 49267 179
49268 17493 194
49268 17494 10
49269 39705 588
49269 35258 616
49269 35264 386
49270 4061 296
49271 28943 36
39125 43312 35
39125 43314 13
39125 998 115
49272 49273 94
49272 49274 15
49272 793 313
49272 39026 17
49273 49272 94
49273 49276 14
49273 1835 66
49274 49124 37
49274 49272 15
49274 49276 110
49274 46277 26
49275 49276 17
49275 47255 22
49275 1835 43
49276 49273 14
49276 49274 110
49276 49275 17
49276 47255 12
49277 40263 49
49278 49279 34
49278 3837 93
49279 49278 34
49279 43413 124
49280 25124 16
49281 37517 9
49282 9712 22
49283 49284 15
49283 37678 187
49284 49283 15
49284 2263 4
49284 22011 104
49285 2986 36
49286 17919 257
49287 8643 244
49287 8644 158
49287 17372 161
49288 49290 10
49288 49291 11
49288 25319 11
49289 49290 20
49289 49291 20
49289 2168 557
49290 49288 10
49290 49289 20
49290 49291 11
49291 49288 11
49291 49289 20
49291 49290 11
49292 49061 7
49293 49294 38
49293 49295 39
49293 24913 27
49294 49293 38
49295 49293 39
49295 49296 38
49295 49060 13
49296 49295 38
49297 49298 9
49297 37215 46
49297 37216 132
49298 49297 9
49298 22760 281
49298 37214 46
49299 14462 39
49300 2899 16
39126 20850 179
39127 18475 166
39128 20492 79
39129 26943 129
39130 8602 53
39131 8595 59
39131 8596 7
39131 8842 43
39132 25140 100
49301 49191 161
49301 49192 136
49301 13733 12
49301 27297 71
49302 2742 159
49302 7694 151
49302 7695 125
49303 49304 36
49303 734 25
49303 925 715
49304 49303 36
49304 43058 30
49304 734 25
49305 30136 19
49306 44901 16
49307 15451 4
49308 38132 14
49309 48275 17
49310 49311 23
49310 37462 42
49310 46537 9
49311 49310 23
49312 48552 20
49313 44489 3
49313 48751 27
49314 49051 17
49315 49316 16
49315 3225 72
49315 16719 423
49316 49315 16
39133 20848 404
39133 41184 57
39133 41198 44
49317 30564 409
49318 49319 76
49319 49318 76
49319 15654 322
49319 20564 116
49320 29079 138
49321 42703 362
49322 37453 33
49323 12117 62
49323 19006 106
49323 1711 119
49324 22780 168
49324 24565 61
49324 37519 7
49325 49326 16
49325 49327 16
49325 37519 239
49326 49325 16
49327 49325 16
49328 25367 15
49329 37516 19
49330 5608 85
49330 16243 274
49331 38152 4
49332 19982 283
49333 47049 13
49334 24556 249
49335 10651 9
49336 10651 8
49337 35336 13
49337 47285 52
49337 47286 53
49338 35339 11
49338 35345 55
49338 35346 56
49339 35341 15
49339 35342 27
49339 35347 29
49340 21389 147
49340 35343 40
49340 35344 35
49341 49342 12
49341 29902 42
49341 29903 11
49342 49341 12
49342 29903 7
49342 48886 74
49343 9260 44
49344 49345 9
49344 5291 25
49345 49344 9
49345 5291 27
49346 46528 16
49347 45525 9
49348 34764 7
49349 34764 7
49350 11281 335
49351 49352 61
49351 37170 90
49351 37171 312
49352 49351 61
49353 35958 13
49354 49355 16
49355 49354 16
49355 48322 135
49355 48360 137
49356 46990 17
49357 29455 16
49358 33046 28
49358 40047 388
49358 40048 379
49359 11015 334
49359 41137 26
49360 49361 37
49360 24499 37
49360 32136 43
49361 49360 37
49361 24498 93
49361 24499 8
49362 49363 7
49362 49365 7
49362 12875 103
49363 49362 7
49363 49364 7
49363 13861 190
49364 49363 7
49364 49365 7
49364 29877 102
49365 49362 7
49365 49364 7
49365 13860 190
49366 49367 6
49366 49368 6
49366 40756 104
49367 49366 6
49367 49369 6
49367 31756 191
49368 49366 6
49368 49369 6
49368 34538 189
49369 49367 6
49369 49368 6
49369 32703 103
49370 49371 66
49370 30197 59
49370 36074 64
49371 49370 66
49371 30197 34
49371 32337 44
49372 5195 22
49373 23268 182
49374 2470 45
49374 7033 68
49374 7034 15
39134 23071 106
39134 46487 48
39134 46488 43
1857 42742 252
1857 483 104
1857 876 103
39135 49134 68
39135 46209 173
39135 46580 12
39135 46916 488
39135 48896 68
39136 39137 32
39136 47499 16
39136 47740 10
39137 39136 32
39137 47499 15
39137 47739 14
39138 49136 43
39138 44866 9
39138 47499 115
39139 44868 55
39140 8337 789
1858 1865 71
1858 42577 27
1858 43907 164
1859 1865 25
1859 43906 123
1859 37303 77
1860 1861 166
1860 1863 18
1860 518 69
1861 1860 166
1862 1863 121
1862 307 109
1862 308 109
1863 1860 18
1863 1862 121
1863 684 90
1864 407 142
1864 415 103
1864 533 142
39141 39142 14
39141 28355 169
39141 38088 29
39142 39141 14
39142 22158 177
39142 38089 32
1865 1858 71
1865 1859 25
1865 42565 263
1866 99 308
1866 210 144
1866 42781 410
1866 49053 20
1867 210 30
1867 42778 359
1867 42780 383
39143 2812 41
39143 43065 75
39143 38379 23
39144 24859 128
39144 35823 102
39144 46155 104
39144 46271 200
39145 1711 100
1868 1869 179
1868 15779 104
1868 21638 61
1869 1868 179
1869 1870 138
1869 15780 96
1869 30833 57
1870 1869 138
1870 1871 96
1870 15782 117
1871 1870 96
1871 1872 90
1871 5491 339
1872 1871 90
1872 1873 89
1872 41728 339
1873 1872 89
1873 1874 91
1873 29864 339
1874 1873 91
1874 32650 340
1874 34544 56
1875 1876 68
1875 16090 172
1875 39550 590
1876 1875 68
1876 2799 81
1876 4137 198
1876 46318 147
1877 37322 66
1877 46318 19
1877 47535 49
1878 1879 26
1878 12917 94
1878 12918 94
1878 36436 56
1879 1878 26
1880 1882 202
1880 4322 116
1880 4323 112
1881 1882 92
1881 24115 53
1881 24116 87
1881 35407 98
1882 1880 202
1882 1881 92
1882 20628 158
1882 32887 103
1883 20508 95
1883 31038 46
1883 36433 177
1884 1885 152
1884 25279 368
1884 42274 62
1885 1884 152
1885 1886 95
1885 20912 187
1885 20913 188
1886 1885 95
1886 18054 187
1886 18055 238
1887 1888 63
1888 1887 63
1888 1889 195
1888 20509 93
1888 20623 93
1889 1888 195
1889 20510 94
1889 20624 94
1890 1891 124
1890 12013 213
1890 42100 172
1891 1890 124
1891 1892 123
1891 17787 75
1892 1891 123
1892 42089 217
1892 42100 95
1893 1894 75
1893 14146 86
1893 34914 101
1894 1893 75
1894 28242 115
1894 34914 86
1895 1896 107
1895 18594 210
1895 18931 107
1896 1895 107
1896 1897 91
1896 21131 46
1897 1896 91
1897 1898 138
1897 17557 204
1897 18933 107
1898 1897 138
1898 1899 103
1898 17557 244
1898 18934 108
1899 1898 103
1899 4636 107
1899 1361 14
1900 1901 95
1900 18244 234
1900 1361 89
1901 1900 95
1901 1902 95
1901 18244 139
1902 1901 95
1902 4297 27
1902 18604 110
1902 48911 333
1903 1904 63
1903 2072 23
